['id', 'area_cm', 'RGB', 'variety', 'ellipsoid_shape', 'weight', 'weight_fraction', 'min_diameter_mm', 'size_fraction']
['0', '21', '[111, 111, 111]', 'Белая', '50', '52.5', '50', '47', '45']
['1', '15', '[122, 122, 122]', 'Белая', '60', '37.5', '30', '37', '35']
['2', '55', '[157, 157, 157]', 'Белая', '65', '137.5', '130', '67', '65']
['3', '22', '[127, 127, 127]', 'Белая', '48', '55.0', '50', '46', '45']
['4', '37', '[143, 143, 143]', 'Белая', '5', '92.5', '90', '55', '55']
['5', '37', '[132, 132, 132]', 'Белая', '85', '92.5', '90', '52', '55']
['6', '48', '[138, 138, 138]', 'Белая', '91', '120.0', '110', '66', '65']
['7', '32', '[124, 124, 124]', 'Белая', '84', '80.0', '70', '50', '45']
['8', '16', '[108, 108, 108]', 'Белая', '94', '40.0', '30', '43', '45']
['9', '49', '[127, 127, 127]', 'Белая', '86', '122.5', '130', '71', '75']
['10', '28', '[128, 128, 128]', 'Белая', '83', '70.0', '70', '56', '55']
['11', '33', '[130, 130, 130]', 'Белая', '81', '82.5', '90', '53', '55']
['12', '34', '[122, 122, 122]', 'Белая', '91', '85.0', '90', '55', '55']
['13', '56', '[138, 138, 138]', 'Белая', '81', '140.0', '130', '71', '75']
['14', '19', '[115, 115, 115]', 'Белая', '87', '47.5', '50', '45', '45']
['15', '28', '[124, 124, 124]', 'Белая', '84', '70.0', '70', '48', '45']
['16', '22', '[117, 117, 117]', 'Белая', '87', '55.0', '50', '43', '45']
['17', '33', '[114, 114, 114]', 'Белая', '91', '82.5', '90', '52', '55']
['18', '25', '[124, 124, 124]', 'Белая', '95', '62.5', '70', '52', '55']
['19', '14', '[106, 106, 106]', 'Белая', '93', '35.0', '30', '38', '35']
['20', '10', '[98, 98, 98]', 'Белая', '79', '25.0', '30', '29', '25']
['21', '28', '[138, 138, 138]', 'Белая', '85', '70.0', '70', '52', '55']
['22', '37', '[120, 120, 120]', 'Белая', '93', '92.5', '90', '56', '55']
['23', '22', '[110, 110, 110]', 'Белая', '73', '55.0', '50', '42', '45']
['24', '22', '[121, 121, 121]', 'Белая', '92', '55.0', '50', '51', '55']
['25', '39', '[126, 126, 126]', 'Белая', '92', '97.5', '90', '55', '55']
['26', '43', '[131, 131, 131]', 'Белая', '88', '107.5', '110', '67', '65']
['27', '29', '[119, 119, 119]', 'Белая', '90', '72.5', '70', '44', '45']
['28', '24', '[113, 113, 113]', 'Белая', '94', '60.0', '50', '45', '45']
['29', '38', '[142, 142, 142]', 'Белая', '88', '95.0', '90', '63', '65']
['30', '13', '[104, 104, 104]', 'Белая', '80', '32.5', '30', '36', '35']
['31', '29', '[118, 118, 118]', 'Белая', '93', '72.5', '70', '48', '45']
['32', '26', '[123, 123, 123]', 'Белая', '86', '65.0', '70', '50', '45']
['33', '23', '[111, 111, 111]', 'Белая', '88', '57.5', '50', '45', '45']
['34', '32', '[123, 123, 123]', 'Белая', '87', '80.0', '70', '61', '65']
['35', '17', '[105, 105, 105]', 'Белая', '92', '42.5', '50', '39', '35']
['36', '36', '[127, 127, 127]', 'Белая', '89', '90.0', '90', '53', '55']
['37', '32', '[110, 110, 110]', 'Белая', '92', '80.0', '70', '48', '45']
['38', '25', '[117, 117, 117]', 'Белая', '83', '62.5', '70', '55', '55']
['39', '29', '[123, 123, 123]', 'Белая', '90', '72.5', '70', '50', '45']
['40', '40', '[133, 133, 133]', 'Белая', '91', '100.0', '90', '69', '65']
['41', '53', '[133, 133, 133]', 'Белая', '85', '132.5', '130', '62', '65']
['42', '20', '[124, 124, 124]', 'Белая', '88', '50.0', '50', '49', '45']
['43', '53', '[147, 147, 147]', 'Белая', '92', '132.5', '130', '67', '65']
['44', '50', '[141, 141, 141]', 'Белая', '88', '125.0', '130', '72', '75']
['45', '30', '[128, 128, 128]', 'Белая', '91', '75.0', '70', '51', '55']
['46', '32', '[134, 134, 134]', 'Белая', '91', '80.0', '70', '60', '55']
['47', '24', '[120, 120, 120]', 'Белая', '93', '60.0', '50', '43', '45']
['48', '33', '[131, 131, 131]', 'Белая', '90', '82.5', '90', '59', '55']
['49', '24', '[121, 121, 121]', 'Белая', '96', '60.0', '50', '50', '45']
['50', '33', '[140, 140, 140]', 'Белая', '90', '82.5', '90', '58', '55']
['51', '29', '[124, 124, 124]', 'Белая', '82', '72.5', '70', '49', '45']
['52', '37', '[128, 128, 128]', 'Белая', '93', '92.5', '90', '58', '55']
['53', '27', '[116, 116, 116]', 'Белая', '93', '67.5', '70', '46', '45']
['54', '27', '[119, 119, 119]', 'Белая', '88', '67.5', '70', '52', '55']
['55', '15', '[111, 111, 111]', 'Белая', '87', '37.5', '30', '41', '45']
['56', '32', '[125, 125, 125]', 'Белая', '89', '80.0', '70', '53', '55']
['57', '39', '[126, 126, 126]', 'Белая', '88', '97.5', '90', '59', '55']
['58', '26', '[116, 116, 116]', 'Белая', '89', '65.0', '70', '46', '45']
['59', '28', '[117, 117, 117]', 'Белая', '92', '70.0', '70', '48', '45']
['60', '35', '[131, 131, 131]', 'Белая', '88', '87.5', '90', '59', '55']
['61', '39', '[127, 127, 127]', 'Белая', '90', '97.5', '90', '59', '55']
['62', '33', '[127, 127, 127]', 'Белая', '90', '82.5', '90', '53', '55']
['63', '30', '[129, 129, 129]', 'Белая', '82', '75.0', '70', '56', '55']
['64', '43', '[138, 138, 138]', 'Белая', '90', '107.5', '110', '57', '55']
['65', '30', '[126, 126, 126]', 'Белая', '93', '75.0', '70', '59', '55']
['66', '29', '[124, 124, 124]', 'Белая', '78', '72.5', '70', '57', '55']
['67', '23', '[115, 115, 115]', 'Белая', '94', '57.5', '50', '45', '45']
['68', '27', '[125, 125, 125]', 'Белая', '78', '67.5', '70', '57', '55']
['69', '13', '[113, 113, 113]', 'Белая', '30', '32.5', '30', '26', '25']
['70', '41', '[135, 135, 135]', 'Белая', '69', '102.5', '110', '64', '65']
['71', '10', '[117, 117, 117]', 'Белая', '51', '25.0', '30', '20', '15']
['72', '10', '[118, 118, 118]', 'Белая', '34', '25.0', '30', '22', '25']
