id;BGR;area_defect
0;[77, 176, 36, 0];0
1;[74, 85, 110, 0];7
2;[69, 81, 104, 0];2
3;[77, 92, 121, 0];6
4;[71, 82, 106, 0];26
5;[69, 80, 99, 0];47
6;[72, 82, 116, 0];8
7;[68, 82, 112, 0];7
8;[77, 90, 113, 0];4
9;[68, 83, 109, 0];1
10;[70, 85, 114, 0];6
11;[89, 98, 119, 0];4
12;[46, 38, 233, 0];2
13;[68, 79, 100, 0];7
14;[84, 96, 120, 0];15
15;[73, 89, 123, 0];2
16;[64, 77, 106, 0];3
17;[80, 93, 117, 0];3
18;[68, 76, 97, 0];1
19;[67, 78, 99, 0];4
20;[69, 81, 102, 0];4
21;[81, 93, 127, 0];2
22;[0, 0, 0, 0];0
23;[77, 85, 117, 0];4
24;[71, 81, 97, 0];2
25;[85, 98, 123, 0];4
26;[75, 86, 102, 0];6
27;[80, 93, 116, 0];4
28;[69, 79, 114, 0];7
29;[65, 79, 102, 0];5
30;[76, 84, 108, 0];2
31;[66, 78, 100, 0];2
32;[77, 89, 109, 0];5
33;[79, 90, 111, 0];1
34;[59, 70, 86, 0];4
35;[59, 70, 89, 0];4
36;[63, 72, 94, 0];2
37;[82, 95, 120, 0];17
38;[70, 77, 108, 0];2
39;[65, 76, 98, 0];1
40;[71, 84, 104, 0];1
41;[87, 98, 125, 0];15
42;[203, 71, 63, 0];1
43;[62, 76, 98, 0];4
44;[67, 82, 105, 0];4
